Card,Color,Magic_Boost,Physical_Boost,ATKSpeed_Boost,Defense_Boost,Synergy,Magic_Equipment,Physical_Equipment,ATKSpeed_Equipment,Defense_Equipment,Hero_Recruitment,Capacity+,Economy,Commander_EXP,Commander_Life,Synergy_Effect
Doomsworm's Blessing,Orange,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Breath of Berserk III,Orange,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thickened Blood III,Orange,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Magic Immersion III,Orange,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Party's Opening,Orange,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Golden Era,Orange,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Premium Client II,Orange,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sharp Arrow,Orange,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategizing,Orange,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Satan's Whisper,Orange,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vault Upgrade,Orange,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fully Armed,Orange,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Fortified,Orange,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Box of Holy Objects,Orange,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
The Hunt,Orange,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Technological Revolution,Orange,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yesterday Once More,Orange,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Victory Horn III,Orange,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Combat Training II,Orange,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Death Oracle,Orange,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Peculiar Merchant,Orange,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
